0,1,2,3,4,5,6,7
27.1,0.98721,1.3393,1.3841,1.3899,1.4032,1.4181,1.4696
27.2,0.99303,1.3492,1.3932,1.3866,1.3907,1.4206,1.4638
27.3,0.99303,1.3492,1.4024,1.3758,1.3932,1.4132,1.458
27.4,0.99303,1.3476,1.4057,1.3824,1.3858,1.4024,1.4696
27.5,0.99303,1.3542,1.3957,1.3849,1.4082,1.4007,1.4596
27.6,0.99303,1.3484,1.3932,1.3758,1.4015,1.3932,1.4522
27.7,0.99303,1.35,1.404,1.3691,1.4024,1.3758,1.4397
27.8,0.99303,1.35,1.4098,1.3783,1.4123,1.3733,1.4281
27.9,0.99303,1.3633,1.4148,1.3957,1.3999,1.37,1.419
28,0.99303,1.3633,1.404,1.4065,1.4073,1.3816,1.4306
28.1,0.99303,1.3675,1.399,1.4057,1.414,1.3741,1.4281
28.2,0.99303,1.3675,1.399,1.3965,1.414,1.3716,1.4347
28.3,0.99303,1.365,1.3882,1.3957,1.4024,1.3783,1.4273
28.4,0.99303,1.36,1.3924,1.3858,1.4107,1.3965,1.4223
28.5,0.99303,1.3584,1.3816,1.3866,1.4098,1.3982,1.4165
28.6,0.99303,1.3584,1.3874,1.3816,1.4132,1.3891,1.4048
28.7,0.99303,1.3584,1.3833,1.3741,1.4173,1.399,1.4007
28.8,0.99303,1.3658,1.3808,1.3791,1.4098,1.409,1.3833
28.9,0.99303,1.3766,1.3866,1.37,1.4206,1.4082,1.3891
29,0.99303,1.3667,1.3907,1.3683,1.4148,1.3858,1.3974
29.1,0.99303,1.3667,1.3907,1.3799,1.4148,1.3957,1.3982
29.2,0.99303,1.3584,1.4015,1.3841,1.4107,1.4032,1.3907
29.3,0.99303,1.355,1.4015,1.3858,1.3957,1.3957,1.3949
29.4,0.99303,1.3608,1.4057,1.3965,1.3808,1.399,1.3965
29.5,0.99303,1.3658,1.4082,1.3949,1.3625,1.4007,1.404
29.6,0.99303,1.3642,1.4206,1.3849,1.3799,1.3907,1.4015
29.7,0.99303,1.3617,1.4264,1.3941,1.3882,1.3932,1.3965
29.8,0.99303,1.3625,1.4073,1.3965,1.3907,1.3882,1.3949
29.9,0.99303,1.3675,1.414,1.3849,1.3907,1.4065,1.409
30,0.99303,1.3658,1.409,1.3799,1.37,1.4024,1.3974
30.1,0.99303,1.36,1.4048,1.3667,1.3667,1.4181,1.3916
30.2,0.99303,1.3542,1.404,1.3741,1.3675,1.4024,1.3949
30.3,0.99303,1.35,1.3941,1.3733,1.3559,1.4198,1.3982
30.4,0.99303,1.35,1.3833,1.37,1.36,1.3949,1.3999
30.5,0.99303,1.3409,1.3824,1.36,1.36,1.4165,1.4007
30.6,0.99303,1.3426,1.3758,1.365,1.3617,1.4356,1.4381
30.7,0.99303,1.3334,1.3791,1.3667,1.3758,1.4472,1.4381
30.8,0.99303,1.3251,1.3824,1.3691,1.3858,1.4572,1.4406
