0,1,2,3,4,5,6,7
23.3,0.64015,0.85105,0.76137,0.77798,0.8361,0.89422,0.8992
23.4,0.63517,0.86682,0.76802,0.79708,0.86018,0.89339,0.88841
23.5,0.636,0.8718,0.77383,0.80206,0.84689,0.87346,0.88177
23.6,0.636,0.87346,0.78213,0.80704,0.84773,0.88675,0.90003
23.7,0.63849,0.87429,0.77217,0.80206,0.84274,0.87263,0.89588
23.8,0.64264,0.8718,0.78379,0.8195,0.83859,0.86516,0.90668
23.9,0.64264,0.87595,0.77466,0.84191,0.86101,0.86267,0.90751
24,0.65925,0.88924,0.76553,0.8361,0.84856,0.85271,0.89422
24.1,0.65925,0.88094,0.76304,0.83195,0.84606,0.85271,0.9266
24.2,0.65676,0.87845,0.77549,0.83112,0.85271,0.84689,0.93906
24.3,0.66838,0.86682,0.78545,0.83029,0.85188,0.85354,0.94155
24.4,0.67336,0.86599,0.79459,0.82199,0.87512,0.84191,0.91913
24.5,0.67336,0.85437,0.79044,0.8195,0.87014,0.85686,0.91913
24.6,0.66257,0.84274,0.79957,0.83444,0.88509,0.84856,0.91166
24.7,0.66257,0.84523,0.83195,0.84773,0.8635,0.84856,0.90169
24.8,0.66755,0.84025,0.82863,0.86184,0.85022,0.84108,0.91
24.9,0.65676,0.84274,0.83942,0.86433,0.84274,0.85188,0.90501
25,0.65676,0.84856,0.83693,0.86101,0.82697,0.8635,0.91166
25.1,0.65178,0.85022,0.84689,0.86184,0.83112,0.86931,0.90834
25.2,0.65427,0.83361,0.84773,0.87512,0.82614,0.86516,0.91747
25.3,0.6634,0.82531,0.85769,0.87429,0.83859,0.85022,0.90917
25.4,0.6634,0.81534,0.84108,0.86433,0.82946,0.85188,0.90751
25.5,0.65427,0.81119,0.84108,0.85603,0.84025,0.86184,0.92909
25.6,0.65427,0.80621,0.83527,0.86018,0.83776,0.87762,0.90003
25.7,0.64846,0.80206,0.83776,0.86848,0.82282,0.87679,0.90086
25.8,0.65427,0.8004,0.83029,0.87014,0.82365,0.89505,0.8909
25.9,0.65427,0.80621,0.82116,0.85852,0.82614,0.87928,0.89256
26,0.65427,0.78877,0.81368,0.87263,0.82282,0.88426,0.88675
26.1,0.65842,0.7921,0.82116,0.86267,0.82448,0.88177,0.87595
26.2,0.65842,0.79625,0.82199,0.86101,0.83444,0.88509,0.88343
26.3,0.64929,0.7921,0.82946,0.86101,0.84856,0.89339,0.90668
26.4,0.64929,0.79293,0.83278,0.84606,0.84108,0.89505,0.90169
26.5,0.63766,0.78711,0.83112,0.84689,0.83776,0.8992,0.91581
26.6,0.63766,0.77964,0.82531,0.83361,0.84523,0.8909,0.92743
26.7,0.63351,0.77051,0.80704,0.84689,0.85105,0.86848,0.92909
26.8,0.64015,0.77798,0.80206,0.83859,0.85188,0.86184,0.91996
26.9,0.64015,0.77798,0.80787,0.8444,0.8635,0.87928,0.90917
27,0.63268,0.7813,0.817,0.82282,0.86931,0.86516,0.90834
27.1,0.63351,0.79376,0.8195,0.83693,0.86101,0.8718,0.90086
27.2,0.63351,0.79708,0.82365,0.83278,0.86101,0.87429,0.92079
27.3,0.62604,0.7921,0.82365,0.84108,0.85935,0.87928,0.93241
27.4,0.62604,0.79625,0.81534,0.84856,0.85188,0.87014,0.90252
27.5,0.62521,0.79625,0.8087,0.83859,0.87429,0.87346,0.90169
27.6,0.63019,0.78877,0.81119,0.84274,0.8635,0.88675,0.90335
27.7,0.6277,0.77964,0.81285,0.84191,0.85188,0.90335,0.88343
27.8,0.6277,0.77466,0.81451,0.84357,0.84773,0.89173,0.88758
27.9,0.62521,0.77217,0.81202,0.85354,0.85271,0.88343,0.88177
28,0.62521,0.77383,0.80621,0.85852,0.84939,0.87679,0.90003
